GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Clados,org.interworldtransport.cladosF,ComplexF,27,859,26,98,1,145,24,83,0,45
Clados,org.interworldtransport.cladosF,ComplexD,26,843,26,98,1,144,24,83,0,45
Clados,org.interworldtransport.cladosF,FBuilder,14,260,7,38,7,66,7,36,0,10
Clados,org.interworldtransport.cladosF,FListBuilder,20,624,13,83,10,128,13,64,0,14
Clados,org.interworldtransport.cladosF,ProtoN,17,236,9,43,8,52,8,29,0,11
Clados,org.interworldtransport.cladosF,CladosField,16,275,8,32,8,45,8,33,0,9
Clados,org.interworldtransport.cladosF,FCache,2,110,1,9,0,22,1,16,0,12
Clados,org.interworldtransport.cladosF,RealD,10,596,18,84,0,104,18,72,0,39
Clados,org.interworldtransport.cladosF,RealF,10,600,18,84,0,104,18,72,0,39
Clados,org.interworldtransport.cladosF,Cardinal,2,87,1,11,0,28,1,13,0,8
Clados,org.interworldtransport.cladosFExceptions,FieldException,0,15,0,0,0,6,0,3,0,3
Clados,org.interworldtransport.cladosFExceptions,FieldBinaryException,0,11,0,0,0,4,0,2,0,2
Clados,org.interworldtransport.cladosGExceptions,CladosNyadException,15,0,0,0,6,0,3,0,3,0
Clados,org.interworldtransport.cladosGExceptions,GeneratorRangeException,0,9,0,0,0,4,0,2,0,2
Clados,org.interworldtransport.cladosGExceptions,BadSignatureException,0,15,0,0,0,6,0,3,0,3
Clados,org.interworldtransport.cladosGExceptions,CladosMonadException,6,9,0,0,2,4,2,1,2,1
Clados,org.interworldtransport.cladosG,Scale,113,1059,16,73,29,191,16,108,0,68
Clados,org.interworldtransport.cladosG,Blade,17,759,9,63,7,171,9,73,0,46
Clados,org.interworldtransport.cladosG,Generator,0,190,0,12,0,29,0,13,0,7
Clados,org.interworldtransport.cladosG,Monad,167,2344,31,161,49,479,31,164,0,78
Clados,org.interworldtransport.cladosG,Nyad,762,798,125,52,145,131,108,64,29,53
Clados,org.interworldtransport.cladosG,GCache,10,143,1,11,2,28,2,20,1,15
Clados,org.interworldtransport.cladosG,Foot,0,222,0,16,0,47,0,23,0,15
Clados,org.interworldtransport.cladosG,GProduct,2,376,2,28,1,70,2,30,0,16
Clados,org.interworldtransport.cladosG,CladosConstant,0,32,0,0,0,10,0,1,0,1
Clados,org.interworldtransport.cladosG,GBuilder,44,382,1,29,7,79,7,40,6,25
Clados,org.interworldtransport.cladosG,Basis,1,822,1,53,0,157,1,57,0,31
Clados,org.interworldtransport.cladosG,Algebra,6,276,3,19,2,72,3,26,0,18
Clados,org.interworldtransport.cladosG,CanonicalBasis,0,13,0,4,0,1,0,3,0,1
Clados,org.interworldtransport.cladosG,BladeDuet,0,293,1,21,0,48,1,19,0,9
Clados,org.interworldtransport.cladosG,CliffordProduct,0,42,0,12,0,13,0,8,0,1
